Title,Application Domain,Emergent Behaviour,Cooperative (agent level) ,Behaviour,Autonomy,Knowledge Access,Trigger - first,Trigger - update,Technique
Pervasive Self-Learning with Multi-modal Distributed Sensors,CPS,No,Yes,Selfish but collaborative,Restricted Autonomy,Neighborhood,No initial knowledge (random),Periodic,Probabilistic
Distributed W-Learning: Multi-Policy Optimization in Self-Organizing Systems,Traffic,No,Yes,Altruistic locally / Selfish globally,Full Autonomy,Neighborhood,No initial knowledge (random),Not mentioned,Reinforcement Learning
Self-organized Fault-tolerant Routing in Peer-to-Peer Overlays,Network,Yes,No,Selfish,Full Autonomy,Minimal,From peers and other agents,Periodic,Reinforcement Learning
Self-organizing Bandwidth Sharing in Priority-Based Medium Access,Network,Yes,No,Selfish,Full Autonomy,Limited,No initial knowledge (random),Action,Game Theory
Incremental Social Learning Applied to a Decentralized Decision-Making Mechanism: Collective Learning Made Faster,Other,Yes,No,Selfish,Full Autonomy,Minimal,From peers and other agents,Not mentioned,Statistics
Simulating Human Single Motor Units Using Self-Organizing Agents,Other,No,Yes,Altruistic,Full Autonomy,Limited,No initial knowledge (random),Periodic,Evolutionary Process
Learning to be Different: Heterogeneity and Efficiency in Distributed Smart Camera Networks,CPS,Yes,No,Selfish,Full Autonomy,Maximal,No initial knowledge (random),Periodic,Reinforcement Learning
Self-Organizational Reciprocal Agents for Conflict Avoidance in Allocation Problems,Other,No,Yes,Selfish but collaborative,Full Autonomy,Limited,No initial knowledge (random),Periodic,Reinforcement Learning
A Mutual Influence Detection Algorithm for Systems with Local Performance Measurement,CPS,Yes,No,Selfish,Full Autonomy,Neighborhood,No initial knowledge (random),Periodic,Reinforcement Learning
Towards Dynamic Epistemic Learning of Actions in Autonomic Multi-agent Systems,Other,No,No,Selfish,Full Autonomy,Maximal,No initial knowledge (random),Task/Episode,Applied Logic
Cooperative Resource Allocation in Open Systems of Systems,CPS,No,No,Both versions explored,Full Autonomy,Tunable ,Domain knowledge / humans,Learning task threshold achieved,Supervised Learning
Multiagent Reinforcement Social Learning Toward Coordination in Cooperative Multiagent Systems,Cooperative Game,No,No,Both versions explored,Full Autonomy,Neighborhood,No initial knowledge (random),Task/Episode,Reinforcement Learning
Efficient and Robust Emergence of Norms Through Heuristic Collective Learning,Cooperative Game,No,No,Altruistic,Full Autonomy,Neighborhood,No initial knowledge (random),Task/Episode,Game Theory
Reinforcement Learning of Informed Initial Policies for Decentralized Planning,CPS,No,No,Selfish,Full Autonomy,Minimal,From peers and other agents,Learning task threshold achieved,Reinforcement Learning
Prediction-Based Multi-Agent Reinforcement Learning in Inherently Non-Stationary Environments,CPS,Yes,No,Selfish,Full Autonomy,Minimal,Domain knowledge / humans,Periodic,Reinforcement Learning
